Sample,X,Y,Z
0,-0.9888,0.0181,-0.0425
1,-0.9900,0.0154,-0.0029
2,-0.9983,0.0208,-0.0073
3,-1.0002,0.0200,-0.0315
4,-0.9993,0.0154,0.0095
5,-0.9956,0.0095,-0.0166
6,-0.9966,0.0146,-0.0232
7,-1.0034,0.0283,0.0010
8,-0.9954,0.0244,-0.0139
9,-0.9917,0.0085,-0.0146
10,-1.0002,0.0090,-0.0100
11,-0.9954,0.0234,-0.0110
12,-1.0012,0.0303,0.0017
13,-1.0002,0.0217,-0.0186
14,-0.9963,0.0117,-0.0063
15,-0.9993,0.0061,-0.0100
16,-0.9885,0.0178,-0.0208
17,-0.9976,0.0251,-0.0078
18,-1.0012,0.0237,0.0010
19,-0.9905,0.0222,-0.0220
20,-0.9954,0.0149,-0.0188
21,-0.9995,0.0188,0.0017
22,-1.0024,0.0112,-0.0120
23,-1.0024,0.0012,-0.0247
24,-0.9924,0.0225,-0.0029
25,-0.9973,0.0364,-0.0186
26,-0.9995,0.0229,-0.0002
27,-0.9924,0.0095,-0.0090
28,-0.9976,-0.0007,-0.0244
29,-1.0022,0.0103,-0.0015
30,-1.0020,0.0249,-0.0095
31,-0.9954,0.0312,-0.0129
32,-0.9993,0.0244,-0.0164
33,-1.0012,0.0171,-0.0176
34,-0.9973,0.0046,-0.0049
35,-1.0020,0.0071,-0.0164
36,-0.9956,0.0210,-0.0024
37,-1.0042,0.0334,-0.0083
38,-1.0022,0.0232,-0.0117
39,-0.9976,0.0166,-0.0203
40,-0.9956,0.0046,-0.0193
41,-0.9973,0.0083,-0.0010
42,-0.9927,0.0242,-0.0198
43,-0.9956,0.0303,-0.0110
44,-1.0032,0.0208,-0.0085
45,-1.0034,0.0078,-0.0085
46,-0.9985,0.0076,-0.0095
47,-0.9937,0.0183,-0.0166
48,-0.9924,0.0242,-0.0054
49,-1.0005,0.0154,-0.0029
50,-0.9954,0.0122,-0.0095
51,-0.9946,0.0176,-0.0229
52,-1.0032,0.0220,-0.0071
53,-0.9946,0.0242,-0.0051
54,-0.9897,0.0112,-0.0222
55,-0.9983,0.0056,-0.0010
56,-1.0002,0.0186,-0.0098
57,-0.9937,0.0247,-0.0171
58,-0.9937,0.0146,-0.0029
59,-0.9963,0.0125,-0.0107
60,-0.9934,0.0273,-0.0239
61,-0.9949,0.0276,-0.0007
62,-1.0007,0.0085,-0.0063
63,-0.9963,0.0022,-0.0232
64,-0.9956,0.0115,-0.0144
65,-0.9954,0.0310,-0.0017
66,-0.9983,0.0413,-0.0059
