Sample,X,Y,Z
0,-0.9807,0.0186,-0.0178
1,-0.9924,0.0159,-0.0154
2,-1.0044,0.0176,0.0005
3,-0.9973,0.0134,-0.0183
4,-0.9893,0.0093,-0.0198
5,-1.0024,0.0146,-0.0020
6,-0.9963,0.0049,-0.0171
7,-0.9836,0.0156,-0.0173
8,-1.0015,0.0227,-0.0012
9,-0.9917,0.0247,-0.0137
10,-0.9941,0.0188,-0.0254
11,-1.0122,0.0071,0.0005
12,-0.9961,0.0110,-0.0154
13,-0.9866,0.0210,-0.0227
14,-0.9973,0.0217,-0.0093
15,-0.9944,0.0142,-0.0095
16,-0.9927,0.0122,-0.0210
17,-0.9993,0.0173,-0.0093
18,-1.0017,0.0051,-0.0110
19,-0.9946,0.0015,-0.0178
20,-0.9956,0.0195,-0.0103
21,-0.9917,0.0332,-0.0103
22,-1.0022,0.0251,-0.0161
23,-1.0029,0.0005,-0.0115
24,-0.9907,-0.0073,-0.0225
25,-0.9917,0.0066,-0.0186
26,-1.0015,0.0198,-0.0078
27,-1.0002,0.0178,-0.0115
28,-0.9924,0.0239,-0.0166
29,-1.0005,0.0291,-0.0183
30,-1.0015,0.0066,-0.0166
31,-0.9983,-0.0129,-0.0071
32,-0.9968,0.0073,-0.0159
33,-0.9946,0.0371,-0.0093
34,-0.9956,0.0415,-0.0103
35,-0.9983,0.0090,-0.0181
36,-0.9966,-0.0117,-0.0100
37,-0.9995,0.0010,-0.0044
38,-0.9927,0.0266,-0.0151
39,-0.9927,0.0254,-0.0125
40,-1.0042,0.0088,-0.0095
41,-0.9937,0.0115,-0.0203
42,-0.9883,0.0178,-0.0181
43,-0.9985,0.0159,-0.0059
44,-0.9985,0.0117,-0.0112
45,-0.9917,0.0132,-0.0117
46,-0.9946,0.0198,-0.0146
47,-0.9966,0.0281,-0.0200
48,-0.9980,0.0137,-0.0139
49,-1.0005,-0.0002,-0.0083
50,-0.9924,0.0105,-0.0120
51,-0.9946,0.0269,-0.0183
52,-0.9976,0.0212,-0.0120
53,-0.9963,0.0107,-0.0044
54,-0.9976,0.0046,-0.0166
55,-0.9878,0.0083,-0.0183
56,-1.0002,0.0198,-0.0076
57,-1.0022,0.0212,-0.0137
58,-0.9924,0.0154,-0.0120
59,-0.9924,0.0085,-0.0105
60,-0.9976,0.0027,-0.0193
61,-1.0005,0.0056,-0.0039
62,-1.0032,0.0237,-0.0015
63,-0.9937,0.0347,-0.0305
64,-0.9915,0.0220,-0.0110
65,-1.0051,-0.0022,-0.0066
66,-0.9937,-0.0073,-0.0244
67,-0.9966,0.0256,-0.0017
68,-1.0061,0.0369,-0.0103
69,-0.9961,0.0049,-0.0278
70,-0.9966,-0.0027,-0.0076
71,-0.9956,0.0183,-0.0105
72,-0.9937,0.0386,-0.0200
73,-1.0054,0.0288,0.0015
74,-1.0054,-0.0012,-0.0146
75,-0.9856,0.0007,-0.0271
76,-0.9905,0.0200,-0.0071
77,-0.9924,0.0325,-0.0039
78,-0.9924,0.0276,-0.0129
79,-1.0051,0.0129,-0.0129
80,-0.9937,0.0066,-0.0176
81,-0.9917,0.0059,-0.0215
82,-1.0005,0.0229,0.0007
83,-0.9954,0.0281,-0.0088
84,-0.9888,0.0186,-0.0186
85,-1.0012,0.0054,-0.0134
86,-0.9976,0.0044,-0.0146
87,-0.9963,0.0200,-0.0110
88,-0.9976,0.0215,-0.0088
89,-1.0002,0.0061,-0.0164
90,-0.9951,0.0090,-0.0120
91,-1.0022,0.0295,-0.0093
92,-0.9946,0.0303,-0.0142
93,-0.9924,0.0095,-0.0164
94,-0.9963,-0.0105,-0.0083
95,-0.9917,-0.0059,-0.0173
96,-1.0005,0.0291,-0.0071
97,-0.9983,0.0493,-0.0115
98,-0.9983,0.0293,-0.0154
99,-1.0022,-0.0002,-0.0122
100,-0.9895,0.0002,-0.0161
101,-0.9927,0.0115,-0.0085
102,-1.0000,0.0132,-0.0139
103,-0.9944,0.0115,-0.0151
104,-0.9888,0.0276,-0.0176
105,-1.0022,0.0298,-0.0166
106,-1.0051,0.0103,-0.0039
107,-0.9995,-0.0066,-0.0081
108,-0.9934,0.0068,-0.0151
109,-0.9995,0.0208,-0.0151
110,-1.0002,0.0266,-0.0112
111,-0.9946,0.0276,-0.0142
112,-0.9973,0.0083,-0.0117
113,-1.0083,0.0027,-0.0037
114,-0.9995,0.0073,-0.0110
115,-0.9885,0.0051,-0.0364
116,-0.9924,-0.0015,-0.0369
117,-0.9944,0.0088,-0.0356
118,-0.9939,0.0342,-0.0149
119,-0.9956,0.0540,0.0002
120,-1.0022,0.0325,-0.0066
121,-1.0088,0.0046,-0.0178
122,-1.0122,0.0000,-0.0095
123,-1.0054,0.0000,-0.0149
124,-0.9954,0.0159,-0.0120
125,-1.0093,0.0229,-0.0112
126,-1.0178,0.0173,-0.0022
127,-1.0012,0.0149,-0.0076
128,-0.9680,0.0229,-0.0217
129,-0.9534,0.0303,-0.0093
130,-0.9819,0.0168,-0.0017
131,-0.9927,-0.0120,-0.0195
132,-1.0103,-0.0056,-0.0117
133,-1.0115,0.0186,-0.0105
134,-0.9912,0.0337,-0.0085
135,-0.9866,0.0190,0.0083
136,-0.9907,0.0007,-0.0002
137,-0.9788,0.0139,-0.0283
138,-0.9956,0.0403,-0.0315
139,-1.0054,0.0374,-0.0227
140,-0.9966,0.0015,-0.0288
141,-1.0081,-0.0039,-0.0115
142,-1.0110,0.0217,-0.0090
143,-0.9993,0.0183,-0.0337
144,-0.9875,0.0178,-0.0264
145,-0.9907,0.0237,-0.0117
146,-0.9963,0.0242,-0.0078
147,-1.0288,0.0156,0.0156
148,-1.0276,0.0005,0.0151
149,-0.9993,-0.0002,-0.0129
150,-0.9819,0.0068,-0.0161
151,-0.9651,0.0168,-0.0046
