Sample,X,Y,Z
0,-0.9800,0.0173,-0.0293
1,-1.0042,0.0286,0.0151
2,-1.0002,0.0271,-0.0081
3,-0.9924,0.0083,-0.0264
4,-1.0032,0.0081,-0.0049
5,-0.9944,0.0247,-0.0154
6,-0.9983,0.0110,-0.0085
7,-1.0022,0.0010,-0.0078
8,-0.9868,0.0186,-0.0288
9,-0.9976,0.0393,-0.0183
10,-1.0063,0.0247,0.0173
11,-0.9897,0.0010,-0.0217
12,-0.9927,-0.0039,-0.0432
13,-0.9980,0.0271,0.0020
14,-1.0005,0.0410,0.0015
15,-1.0015,0.0049,-0.0059
16,-0.9976,-0.0024,-0.0344
17,-0.9924,0.0151,-0.0269
18,-1.0022,0.0305,0.0098
19,-0.9993,0.0303,-0.0098
20,-0.9924,0.0000,-0.0178
21,-0.9915,-0.0068,-0.0286
22,-1.0022,0.0232,-0.0195
23,-1.0012,0.0483,0.0278
24,-0.9907,0.0347,-0.0195
25,-1.0015,-0.0046,-0.0347
26,-1.0020,-0.0081,0.0142
27,-0.9924,0.0193,-0.0349
28,-1.0066,0.0251,-0.0063
29,-1.0022,0.0271,0.0056
30,-0.9893,0.0178,-0.0435
31,-0.9995,0.0107,0.0044
32,-1.0005,0.0205,-0.0066
33,-0.9937,0.0154,-0.0164
34,-0.9973,0.0203,-0.0122
35,-0.9944,0.0195,-0.0146
36,-0.9976,0.0181,-0.0149
37,-1.0012,0.0137,-0.0032
38,-0.9885,0.0105,-0.0154
39,-0.9956,0.0183,-0.0281
40,-1.0044,0.0264,-0.0029
41,-0.9983,0.0271,-0.0037
42,-0.9983,0.0073,-0.0161
43,-0.9946,0.0059,-0.0142
44,-0.9917,0.0259,-0.0178
45,-0.9976,0.0244,-0.0137
46,-1.0034,0.0151,0.0049
47,-0.9944,0.0117,-0.0283
48,-0.9946,0.0139,-0.0120
49,-0.9988,0.0232,-0.0110
50,-0.9993,0.0227,-0.0149
51,-1.0005,0.0088,-0.0195
52,-1.0015,0.0098,-0.0168
53,-0.9954,0.0269,-0.0076
54,-0.9976,0.0264,-0.0168
55,-0.9927,0.0127,-0.0068
56,-0.9998,-0.0098,-0.0112
57,-0.9924,0.0049,-0.0208
58,-0.9971,0.0315,-0.0159
59,-1.0051,0.0291,0.0161
60,-0.9983,0.0120,-0.0278
61,-0.9983,0.0039,-0.0310
62,-1.0022,0.0220,0.0078
63,-0.9937,0.0400,-0.0071
64,-1.0024,0.0098,-0.0171
65,-1.0010,-0.0088,-0.0088
66,-0.9895,0.0146,-0.0300
67,-1.0022,0.0352,-0.0049
68,-1.0005,0.0315,0.0095
69,-0.9907,0.0059,-0.0288
