Sample,X,Y,Z
0,-0.9761,0.0242,-0.0129
1,-0.9897,0.0491,-0.0076
2,-0.9946,0.0315,-0.0264
3,-0.9983,0.0027,-0.0120
4,-1.0037,0.0100,-0.0093
5,-0.9927,0.0210,-0.0278
6,-1.0032,0.0073,-0.0022
7,-1.0002,0.0083,-0.0103
8,-0.9800,0.0144,-0.0366
9,-0.9963,0.0271,-0.0046
10,-1.0073,0.0278,0.0056
11,-0.9856,0.0103,-0.0281
12,-0.9983,0.0054,-0.0093
13,-1.0071,0.0083,0.0027
14,-0.9895,0.0139,-0.0293
15,-0.9827,0.0237,-0.0183
16,-1.0012,0.0281,-0.0024
17,-0.9993,0.0161,-0.0159
18,-0.9954,0.0059,-0.0125
19,-1.0005,0.0051,-0.0154
20,-0.9973,0.0125,-0.0117
21,-0.9995,0.0200,-0.0063
22,-0.9875,0.0217,-0.0288
23,-0.9895,0.0215,-0.0247
24,-1.0054,0.0283,0.0112
25,-0.9954,0.0061,-0.0208
26,-0.9907,-0.0200,-0.0283
27,-1.0071,0.0068,0.0054
28,-0.9927,0.0483,-0.0178
29,-0.9976,0.0408,-0.0239
30,-1.0132,0.0068,0.0149
31,-0.9866,-0.0103,-0.0342
32,-0.9797,-0.0117,-0.0388
33,-1.0100,0.0293,0.0273
34,-1.0002,0.0564,-0.0164
35,-0.9917,0.0325,-0.0500
36,-1.0171,0.0037,0.0183
37,-1.0005,0.0056,-0.0193
38,-0.9768,0.0059,-0.0457
39,-1.0073,0.0122,0.0203
40,-1.0042,0.0159,-0.0044
41,-0.9790,0.0239,-0.0474
42,-1.0110,0.0286,0.0059
43,-1.0142,0.0142,-0.0039
44,-0.9849,-0.0095,-0.0308
45,-0.9956,-0.0105,-0.0017
46,-1.0054,0.0161,-0.0225
47,-0.9917,0.0337,-0.0259
48,-0.9993,0.0332,0.0115
49,-0.9888,0.0256,-0.0251
50,-0.9888,0.0051,-0.0334
51,-1.0142,-0.0068,0.0212
52,-1.0002,-0.0032,-0.0125
53,-0.9817,0.0220,-0.0469
54,-1.0071,0.0371,0.0000
55,-1.0076,0.0369,-0.0020
56,-0.9849,0.0186,-0.0352
57,-0.9944,-0.0027,-0.0027
58,-1.0054,-0.0137,-0.0063
59,-0.9963,0.0068,-0.0320
60,-1.0012,0.0413,-0.0056
61,-1.0022,0.0337,-0.0029
62,-0.9827,0.0085,-0.0320
63,-0.9897,0.0085,-0.0112
64,-1.0012,0.0095,0.0054
65,-0.9946,0.0151,-0.0146
66,-0.9956,0.0181,-0.0251
67,-1.0015,0.0073,-0.0120
68,-1.0032,0.0186,-0.0129
69,-0.9922,0.0298,-0.0168
70,-0.9937,0.0264,-0.0071
71,-0.9995,0.0142,-0.0022
72,-0.9937,0.0078,-0.0315
73,-0.9946,0.0068,-0.0166
74,-1.0022,0.0032,-0.0007
75,-0.9897,0.0027,-0.0212
76,-0.9956,0.0151,-0.0195
77,-0.9993,0.0325,0.0020
78,-0.9878,0.0305,-0.0200
79,-0.9985,0.0066,-0.0195
80,-1.0120,-0.0015,0.0076
81,-0.9946,0.0188,-0.0186
82,-0.9878,0.0361,-0.0247
83,-1.0120,0.0212,-0.0017
84,-0.9985,0.0039,-0.0188
85,-0.9836,0.0088,-0.0281
86,-0.9993,0.0151,0.0005
87,-0.9946,0.0105,-0.0149
88,-0.9895,0.0063,-0.0188
89,-1.0015,0.0210,-0.0046
90,-0.9985,0.0286,-0.0249
91,-1.0032,0.0154,-0.0115
92,-1.0054,0.0120,0.0066
93,-0.9905,0.0134,-0.0237
94,-0.9856,0.0049,-0.0210
95,-0.9976,0.0022,0.0051
96,-0.9917,0.0151,-0.0239
97,-0.9927,0.0312,-0.0208
98,-1.0103,0.0403,0.0073
99,-0.9946,0.0242,-0.0225
100,-0.9937,-0.0015,-0.0176
101,-1.0022,-0.0051,0.0115
102,-0.9836,0.0042,-0.0308
103,-0.9934,0.0115,-0.0269
104,-1.0042,0.0269,0.0117
105,-0.9937,0.0381,-0.0242
106,-0.9917,0.0298,-0.0237
107,-1.0132,0.0046,0.0103
108,-0.9895,-0.0120,-0.0264
109,-0.9839,0.0039,-0.0276
110,-1.0071,0.0347,0.0186
111,-0.9905,0.0461,-0.0166
112,-0.9846,0.0244,-0.0417
113,-1.0093,0.0049,0.0139
114,-0.9966,0.0078,-0.0134
115,-0.9868,0.0049,-0.0422
116,-1.0100,0.0115,0.0115
117,-1.0002,0.0164,-0.0059
118,-0.9741,0.0251,-0.0430
119,-0.9973,0.0371,0.0000
120,-1.0012,0.0244,-0.0063
121,-0.9937,-0.0117,-0.0337
122,-1.0083,-0.0071,0.0017
123,-1.0005,0.0293,-0.0112
124,-0.9827,0.0288,-0.0300
125,-1.0044,0.0054,-0.0024
126,-1.0012,0.0088,-0.0071
127,-0.9768,0.0352,-0.0354
128,-1.0002,0.0322,-0.0034
129,-1.0054,0.0066,0.0056
130,-0.9880,0.0046,-0.0300
131,-0.9983,0.0166,-0.0161
132,-1.0063,0.0183,0.0085
133,-0.9878,0.0186,-0.0171
134,-0.9897,0.0171,-0.0134
135,-0.9946,0.0042,-0.0183
136,-0.9915,0.0042,-0.0273
137,-0.9924,0.0295,-0.0295
138,-0.9924,0.0203,-0.0366
139,-0.9993,0.0154,-0.0090
140,-1.0002,0.0288,0.0054
141,-1.0068,0.0251,-0.0210
142,-1.0051,0.0151,-0.0234
143,-1.0132,0.0134,0.0078
144,-1.0051,0.0054,-0.0171
145,-0.9846,-0.0154,-0.0344
146,-1.0051,-0.0125,-0.0010
147,-1.0229,0.0312,0.0020
148,-0.9934,0.0662,-0.0276
149,-0.9722,0.0469,-0.0181
150,-0.9690,0.0034,-0.0144
151,-0.9790,-0.0168,-0.0242
152,-1.0002,-0.0139,-0.0105
153,-1.0195,0.0103,0.0017
154,-1.0142,0.0366,-0.0134
155,-1.0051,0.0393,-0.0176
156,-0.9927,0.0161,-0.0034
157,-0.9775,0.0083,-0.0120
158,-0.9868,0.0098,-0.0247
159,-0.9995,0.0171,-0.0205
160,-1.0012,0.0112,-0.0139
161,-0.9966,0.0046,-0.0200
162,-0.9944,0.0154,-0.0234
163,-1.0002,0.0327,-0.0137
164,-0.9963,0.0195,-0.0222
165,-0.9871,-0.0005,-0.0342
166,-0.9875,0.0181,-0.0222
167,-1.0103,0.0496,0.0015
168,-1.0286,0.0271,0.0032
169,-1.0110,-0.0090,-0.0115
170,-0.9866,0.0020,-0.0198
171,-0.9856,0.0317,-0.0178
172,-0.9875,0.0173,-0.0012
173,-0.9956,-0.0068,-0.0017
174,-1.0032,-0.0054,-0.0120
175,-1.0093,0.0295,-0.0022
176,-1.0044,0.0562,0.0044
177,-0.9807,0.0188,-0.0237
178,-0.9739,-0.0278,-0.0249
179,-0.9868,-0.0090,-0.0195
180,-0.9785,0.0347,-0.0339
181,-0.9976,0.0330,-0.0203
182,-1.0168,0.0054,0.0037
183,-0.9983,0.0063,-0.0371
184,-1.0024,0.0315,-0.0305
185,-1.0249,0.0471,0.0183
186,-1.0110,0.0210,-0.0210
187,-1.0034,-0.0078,-0.0322
188,-1.0100,0.0012,0.0161
189,-0.9980,0.0198,-0.0225
190,-0.9905,0.0098,-0.0359
191,-1.0112,0.0007,0.0112
192,-0.9790,0.0046,-0.0298
193,-0.9612,0.0220,-0.0315
194,-0.9973,0.0457,0.0437
195,-0.9954,0.0381,0.0115
196,-0.9829,0.0037,-0.0020
197,-1.0005,-0.0154,0.0122
198,-0.9917,-0.0122,-0.0264
199,-0.9836,0.0081,-0.0342
200,-1.0054,0.0239,-0.0049
201,-0.9927,0.0393,-0.0337
202,-0.9758,0.0522,-0.0315
203,-1.0024,0.0415,0.0073
204,-0.9937,0.0120,-0.0142
205,-0.9878,-0.0098,-0.0493
206,-1.0171,-0.0090,-0.0220
207,-1.0366,0.0090,-0.0242
208,-1.0322,0.0144,-0.0239
209,-1.0205,0.0203,0.0168
210,-1.0081,0.0425,0.0188
211,-0.9868,0.0469,0.0068
212,-0.9790,0.0181,0.0063
213,-0.9761,-0.0190,-0.0293
214,-0.9700,-0.0354,-0.0415
215,-0.9878,-0.0063,-0.0054
216,-0.9868,0.0256,-0.0024
217,-0.9917,0.0276,0.0059
218,-1.0051,0.0283,0.0232
219,-0.9963,0.0205,-0.0171
220,-0.9888,0.0049,-0.0334
221,-1.0103,0.0007,-0.0122
222,-1.0032,0.0232,-0.0068
223,-1.0034,0.0447,-0.0063
224,-1.0229,0.0393,0.0090
225,-1.0239,0.0127,-0.0144
226,-0.9917,-0.0049,-0.0457
227,-0.9719,-0.0071,-0.0361
228,-0.9751,0.0137,-0.0298
229,-0.9897,0.0356,-0.0203
230,-1.0151,0.0251,-0.0024
231,-1.0251,0.0156,-0.0095
232,-1.0129,0.0173,-0.0129
233,-0.9966,0.0178,0.0261
234,-0.9817,0.0100,0.0261
235,-0.9780,-0.0129,-0.0122
236,-0.9995,-0.0122,0.0012
237,-1.0159,0.0193,-0.0034
238,-0.9946,0.0427,-0.0200
239,-0.9709,0.0439,0.0193
240,-0.9592,0.0139,0.0103
241,-0.9504,-0.0212,-0.0493
242,-0.9907,-0.0066,-0.0425
243,-1.0125,0.0261,-0.0054
244,-1.0051,0.0469,0.0022
245,-1.0042,0.0405,0.0063
246,-1.0325,-0.0024,-0.0012
247,-1.0503,-0.0244,-0.0298
248,-1.0120,0.0149,-0.0354
249,-0.9575,0.0669,-0.0339
250,-0.9302,0.0474,-0.0283
251,-1.0063,0.0012,0.0078
252,-1.0540,-0.0190,0.0212
253,-1.0425,0.0005,-0.0132
254,-0.9985,0.0249,-0.0364
255,-0.9712,0.0112,-0.0400
256,-0.9719,-0.0088,-0.0188
257,-1.0081,0.0217,0.0354
258,-1.0024,0.0610,0.0195
259,-0.9739,0.0295,-0.0476
260,-1.0022,-0.0234,-0.0273
261,-1.0227,-0.0103,0.0417
262,-0.9839,0.0303,0.0166
263,-0.9351,0.0229,-0.0503
264,-0.9771,-0.0022,-0.0435
265,-1.0413,0.0144,-0.0085
266,-1.0276,0.0505,-0.0054
267,-0.9922,0.0356,-0.0090
268,-0.9973,0.0066,-0.0029
269,-1.0337,0.0232,0.0173
270,-1.0142,0.0435,0.0046
271,-0.9407,0.0117,-0.0767
272,-0.9565,-0.0391,-0.0679
273,-1.0408,-0.0293,0.0383
274,-1.0386,0.0242,0.0242
275,-0.9749,0.0469,-0.0481
276,-1.0032,0.0181,-0.0071
277,-1.0315,0.0078,0.0183
278,-0.9731,0.0261,-0.0320
279,-0.9136,0.0305,-0.0349
280,-0.9692,0.0022,-0.0037
281,-1.0422,-0.0117,0.0051
282,-1.0405,0.0149,0.0012
283,-0.9954,0.0486,-0.0120
284,-0.9907,0.0374,0.0117
285,-1.0022,-0.0098,0.0295
286,-0.9653,-0.0354,-0.0566
287,-0.9595,0.0054,-0.0515
288,-1.0151,0.0708,0.0237
289,-1.0132,0.0518,-0.0210
290,-1.0005,-0.0120,-0.0400
291,-1.0386,-0.0007,0.0630
292,-1.0171,0.0244,0.0085
293,-0.9534,-0.0186,-0.1038
294,-0.9702,-0.0317,-0.0425
295,-1.0051,0.0261,0.0005
296,-0.9846,0.0708,-0.0269
297,-1.0210,0.0564,0.0300
298,-1.0374,0.0122,0.0503
299,-1.0071,-0.0125,-0.0366
300,-0.9751,-0.0271,-0.0620
301,-0.9578,-0.0215,-0.0220
302,-0.9644,0.0159,-0.0129
303,-0.9866,0.0493,-0.0142
304,-1.0276,0.0564,0.0229
305,-1.0315,0.0327,0.0161
306,-1.0068,0.0054,-0.0278
307,-0.9709,-0.0083,-0.0427
308,-0.9768,-0.0024,-0.0095
309,-0.9758,0.0081,0.0000
310,-0.9866,0.0193,-0.0164
311,-1.0334,0.0366,0.0095
312,-1.0562,0.0398,0.0183
313,-1.0054,0.0063,-0.0347
314,-0.9634,-0.0125,-0.0447
315,-0.9702,0.0037,-0.0107
316,-0.9614,0.0339,-0.0293
317,-0.9905,0.0432,-0.0308
318,-1.0364,0.0229,0.0293
319,-1.0315,0.0076,-0.0029
320,-0.9875,0.0225,-0.0520
321,-0.9839,0.0295,-0.0139
322,-0.9888,0.0071,0.0090
323,-1.0229,0.0061,0.0273
324,-1.0239,0.0020,-0.0154
325,-1.0020,0.0105,-0.0168
326,-0.9944,0.0327,0.0005
327,-0.9749,0.0356,-0.0422
328,-0.9895,0.0164,-0.0474
329,-1.0090,0.0076,0.0081
330,-1.0051,0.0056,-0.0208
331,-0.9858,-0.0039,-0.0510
332,-0.9973,0.0073,-0.0051
333,-1.0037,0.0364,0.0000
334,-1.0044,0.0417,-0.0327
335,-1.0110,0.0190,0.0215
336,-1.0227,-0.0073,0.0288
337,-1.0042,-0.0151,-0.0378
338,-0.9856,0.0098,-0.0181
339,-0.9934,0.0420,0.0127
340,-0.9661,0.0405,-0.0498
341,-0.9771,0.0068,-0.0339
342,-1.0144,-0.0068,0.0186
343,-1.0044,-0.0039,-0.0188
344,-0.9771,0.0149,-0.0342
345,-0.9846,0.0269,-0.0085
346,-0.9761,0.0364,-0.0227
347,-0.9797,0.0476,-0.0103
348,-1.0183,0.0391,0.0347
349,-1.0295,-0.0002,0.0110
350,-1.0149,-0.0315,-0.0198
351,-0.9954,-0.0117,-0.0173
352,-0.9722,0.0383,-0.0315
353,-0.9670,0.0640,-0.0454
354,-0.9944,0.0273,-0.0200
355,-1.0120,-0.0095,-0.0129
356,-1.0073,-0.0063,-0.0366
357,-0.9951,0.0107,-0.0376
358,-0.9993,0.0242,-0.0139
359,-1.0042,0.0276,-0.0186
360,-0.9976,0.0159,-0.0288
361,-1.0122,0.0115,0.0193
362,-1.0239,0.0044,0.0166
363,-1.0100,-0.0186,-0.0361
364,-1.0061,-0.0010,0.0051
365,-0.9963,0.0408,0.0061
366,-0.9680,0.0415,-0.0623
367,-0.9856,0.0247,-0.0007
368,-1.0100,0.0012,0.0310
369,-0.9768,-0.0146,-0.0476
370,-0.9702,0.0054,-0.0376
371,-1.0071,0.0227,0.0264
372,-0.9905,0.0195,-0.0225
373,-0.9858,0.0188,-0.0166
374,-1.0188,0.0144,0.0510
375,-1.0112,0.0085,-0.0039
376,-0.9956,0.0088,-0.0391
377,-0.9958,0.0242,0.0115
378,-0.9719,0.0320,-0.0288
379,-0.9631,0.0312,-0.0623
380,-1.0110,0.0234,0.0151
381,-1.0139,0.0010,0.0039
382,-0.9827,-0.0146,-0.0693
383,-0.9897,0.0073,-0.0237
384,-1.0022,0.0486,-0.0017
385,-0.9883,0.0520,-0.0266
386,-0.9956,0.0288,-0.0012
387,-1.0266,0.0183,0.0361
388,-1.0295,0.0002,-0.0034
389,-1.0132,-0.0017,-0.0208
390,-0.9963,0.0244,0.0068
391,-0.9741,0.0276,-0.0227
392,-0.9583,0.0088,-0.0444
393,-0.9858,0.0005,0.0081
394,-1.0081,0.0037,0.0020
395,-0.9927,0.0110,-0.0464
396,-0.9976,0.0256,-0.0166
397,-1.0090,0.0349,-0.0073
398,-0.9885,0.0144,-0.0330
399,-0.9976,0.0093,0.0061
400,-1.0298,0.0105,0.0227
401,-1.0210,0.0022,-0.0159
402,-1.0083,0.0029,-0.0171
403,-1.0044,0.0156,-0.0027
404,-0.9768,0.0112,-0.0354
405,-0.9788,0.0127,-0.0344
406,-0.9934,0.0212,0.0115
407,-1.0044,0.0110,-0.0068
408,-0.9961,0.0020,-0.0374
