Sample,X,Y,Z
0,-0.9917,0.0183,0.0137
1,-0.9917,0.0122,-0.0334
2,-1.0024,0.0146,-0.0066
3,-0.9966,0.0203,-0.0149
4,-0.9954,0.0249,-0.0168
5,-1.0054,0.0220,0.0088
6,-0.9927,0.0139,-0.0281
7,-0.9956,0.0127,-0.0239
8,-1.0032,0.0195,0.0015
9,-0.9885,0.0225,-0.0129
10,-0.9956,0.0122,-0.0283
11,-1.0061,0.0139,-0.0020
12,-0.9944,0.0271,-0.0105
13,-0.9985,0.0188,-0.0168
14,-1.0042,0.0093,-0.0020
15,-0.9924,0.0168,-0.0283
16,-0.9944,0.0247,-0.0076
17,-1.0022,0.0186,0.0078
18,-0.9993,0.0061,-0.0203
19,-0.9946,0.0071,-0.0139
20,-0.9983,0.0212,-0.0249
21,-1.0034,0.0251,-0.0083
22,-0.9995,0.0181,-0.0132
23,-0.9946,0.0164,-0.0256
24,-0.9973,0.0212,-0.0076
25,-0.9966,0.0217,-0.0093
26,-0.9897,0.0129,-0.0229
27,-0.9956,0.0127,0.0005
28,-1.0037,0.0254,-0.0234
29,-1.0032,0.0186,0.0017
30,-0.9963,0.0142,-0.0063
31,-0.9910,0.0122,-0.0286
32,-0.9985,0.0181,0.0010
33,-0.9976,0.0261,-0.0056
34,-0.9927,0.0166,-0.0127
35,-1.0005,0.0115,-0.0059
36,-0.9917,0.0247,-0.0229
37,-0.9946,0.0249,-0.0039
38,-1.0022,0.0193,-0.0063
39,-0.9944,0.0120,-0.0256
40,-0.9985,0.0149,0.0037
41,-0.9944,0.0266,-0.0203
42,-0.9946,0.0232,-0.0159
43,-1.0044,0.0154,0.0039
44,-0.9993,0.0039,-0.0339
45,-0.9966,0.0107,-0.0071
46,-0.9924,0.0322,0.0020
47,-0.9937,0.0312,-0.0229
48,-1.0054,0.0002,0.0059
49,-0.9961,-0.0024,-0.0205
50,-0.9915,0.0186,-0.0208
51,-1.0020,0.0347,0.0117
52,-0.9976,0.0232,-0.0149
53,-0.9917,0.0042,-0.0154
54,-0.9995,0.0046,-0.0229
55,-0.9976,0.0317,-0.0078
56,-0.9973,0.0293,0.0073
57,-0.9934,0.0027,-0.0076
58,-0.9917,-0.0017,-0.0308
59,-1.0002,0.0198,-0.0132
60,-0.9995,0.0359,0.0166
61,-1.0000,0.0142,-0.0073
62,-0.9939,-0.0046,-0.0327
63,-0.9956,0.0142,-0.0115
64,-0.9995,0.0403,-0.0088
65,-0.9976,0.0283,-0.0051
66,-1.0015,0.0015,-0.0215
67,-0.9954,0.0063,-0.0205
68,-0.9944,0.0266,-0.0032
69,-1.0103,0.0239,-0.0044
70,-1.0005,0.0200,-0.0083
71,-0.9915,0.0190,-0.0342
72,-0.9993,0.0176,-0.0093
73,-1.0044,0.0115,0.0110
74,-0.9893,0.0112,-0.0251
75,-0.9907,0.0183,-0.0076
76,-1.0054,0.0251,0.0059
77,-1.0024,0.0171,-0.0171
78,-0.9946,0.0015,-0.0142
79,-0.9973,0.0022,-0.0249
80,-0.9963,0.0234,-0.0154
81,-0.9993,0.0359,0.0042
82,-0.9995,0.0225,-0.0068
83,-1.0024,-0.0034,-0.0281
84,-1.0042,-0.0012,-0.0129
85,-0.9946,0.0291,-0.0149
86,-0.9993,0.0359,-0.0151
87,-1.0015,0.0164,0.0012
88,-0.9954,-0.0002,-0.0237
89,-0.9934,0.0139,-0.0315
90,-0.9985,0.0364,-0.0112
91,-1.0032,0.0242,0.0042
92,-1.0002,-0.0029,-0.0071
93,-0.9934,0.0012,-0.0337
94,-1.0022,0.0237,-0.0044
95,-0.9961,0.0415,0.0073
96,-0.9937,0.0308,-0.0183
97,-0.9963,-0.0010,-0.0073
98,-0.9963,-0.0125,-0.0212
99,-0.9897,0.0127,-0.0239
100,-0.9973,0.0457,0.0105
101,-0.9995,0.0352,-0.0078
102,-0.9946,0.0032,-0.0222
103,-0.9934,-0.0022,-0.0056
104,-0.9932,0.0188,-0.0073
105,-0.9985,0.0266,-0.0083
106,-0.9963,0.0249,-0.0144
107,-0.9946,0.0239,-0.0215
108,-1.0005,0.0210,-0.0066
109,-1.0027,0.0088,-0.0115
110,-0.9954,0.0078,-0.0146
111,-0.9915,0.0215,-0.0181
112,-0.9993,0.0305,-0.0137
113,-1.0024,0.0164,0.0005
114,-0.9917,0.0144,-0.0176
115,-0.9983,0.0110,-0.0334
116,-1.0073,0.0146,0.0115
117,-0.9963,0.0283,-0.0107
118,-0.9866,0.0159,-0.0203
119,-1.0061,-0.0012,0.0020
120,-0.9966,0.0161,-0.0193
121,-0.9907,0.0337,-0.0171
122,-1.0073,0.0212,0.0007
123,-0.9995,0.0103,-0.0168
124,-0.9993,-0.0479,-0.0168
125,-1.0071,-0.1118,0.0022
126,-0.9788,-0.0251,-0.0596
127,-0.9758,0.1724,-0.0256
128,-0.9954,0.4524,0.0364
129,-1.0112,0.5024,0.0366
130,-1.0278,0.2024,0.0334
131,-1.0208,-0.0664,-0.1077
132,-0.9861,-0.0366,-0.1296
133,-1.0032,0.1648,0.0640
134,-1.0051,0.2634,0.0242
135,-0.9583,0.1899,-0.0947
136,-0.9536,0.1123,-0.0500
137,-0.9709,0.1658,-0.0154
138,-0.9778,0.2361,0.0396
139,-0.9995,0.2273,0.0554
140,-1.0103,0.1692,-0.0300
141,-1.0176,0.1282,-0.0364
142,-1.0266,0.1311,0.0042
143,-1.0229,0.1011,0.0212
144,-1.0161,0.0225,-0.0090
145,-1.0178,-0.0098,-0.0281
146,-1.0120,0.0620,0.0061
147,-1.0032,0.1628,0.0486
148,-0.9905,0.2307,0.0225
149,-0.9651,0.2468,0.0059
150,-0.9458,0.2461,0.0063
151,-0.9263,0.2102,-0.0430
152,-0.9827,0.1545,0.1255
153,-0.9653,0.0562,-0.0427
154,-0.9573,0.0020,-0.0732
155,-1.0334,0.0371,0.0364
156,-1.0159,0.0654,-0.0403
157,-1.0139,0.0876,-0.0151
158,-1.0317,0.1064,-0.0015
159,-0.9829,0.1133,-0.0437
160,-0.9927,0.1191,-0.0205
161,-0.9944,0.1357,-0.0139
162,-0.9849,0.1521,-0.0388
163,-0.9966,0.1526,-0.0286
164,-1.0032,0.1331,-0.0388
165,-1.0081,0.0815,-0.0264
166,-1.0051,0.0337,-0.0525
167,-0.9934,0.0066,-0.0557
168,-0.9924,0.0059,-0.0210
169,-0.9983,0.0508,-0.0527
170,-0.9895,0.1311,-0.0396
171,-0.9834,0.2061,-0.0159
172,-0.9875,0.2595,-0.0171
173,-0.9944,0.2727,0.0076
174,-0.9978,0.2341,-0.0012
175,-1.0103,0.1575,-0.0083
176,-1.0188,0.0784,-0.0107
177,-1.0276,-0.0007,-0.0034
178,-1.0208,-0.0369,-0.0093
179,-1.0015,-0.0225,-0.0232
180,-0.9810,0.0554,0.0371
181,-0.9524,0.1724,0.0337
182,-0.9280,0.2812,0.0095
183,-0.9436,0.3269,0.0510
184,-0.9829,0.2964,0.0386
185,-0.9683,0.1880,-0.0063
186,-0.9749,0.0576,-0.0039
187,-0.9868,-0.0332,-0.0344
188,-0.9739,-0.0107,-0.0571
189,-1.0481,0.1252,0.0740
190,-1.0181,0.2532,0.0010
191,-0.9810,0.2446,-0.0801
192,-1.0500,0.1570,0.0413
193,-1.0188,0.0815,-0.0244
194,-0.9680,0.0942,-0.1008
195,-0.9800,0.1624,0.0078
196,-0.9727,0.2285,0.0117
197,-0.9211,0.2468,-0.0916
198,-0.9407,0.2048,-0.0215
199,-0.9993,0.0891,-0.0042
200,-1.0229,-0.0603,-0.0364
201,-1.0071,-0.1323,-0.0608
202,-1.0337,-0.0137,-0.0493
203,-0.9983,0.1702,-0.0520
204,-0.9946,0.2710,0.0188
205,-1.0061,0.1873,0.0142
206,-0.9827,-0.0044,-0.0344
207,-0.9636,-0.0974,-0.0225
208,-0.9836,0.0198,-0.0059
209,-1.0198,0.2224,0.0483
210,-1.0161,0.3013,0.0334
211,-1.0181,0.1763,-0.0122
212,-1.0376,-0.0596,-0.0229
213,-1.0015,-0.1721,-0.0247
214,-0.9634,-0.0220,-0.0505
215,-0.9839,0.2256,0.0295
216,-1.0432,0.2854,0.0603
217,-1.0178,0.1609,-0.0300
218,-0.9729,0.0557,-0.1042
219,-0.9924,0.1516,-0.0232
220,-0.9995,0.3657,0.0642
221,-0.9866,0.4246,0.0300
222,-0.9868,0.2170,-0.0327
223,-1.0032,-0.0405,-0.0566
224,-0.9905,-0.0378,-0.1223
225,-1.0015,0.2026,-0.0183
226,-1.0581,0.3215,0.0962
227,-1.0247,0.1187,-0.0090
228,-0.9583,-0.1301,-0.1216
229,-0.9243,-0.0508,-0.0864
230,-0.9504,0.2766,0.0361
231,-1.0103,0.3901,0.1108
232,-1.0364,0.1206,0.0500
233,-0.9963,-0.1372,-0.0991
234,-0.9446,-0.0212,-0.0859
