Sample,X,Y,Z
0,-0.9702,0.0132,-0.0349
1,-0.9810,-0.0044,-0.0278
2,-1.0120,0.0044,0.0151
3,-0.9934,0.0291,-0.0081
4,-0.9839,0.0393,-0.0322
5,-1.0078,0.0073,-0.0022
6,-1.0051,-0.0164,-0.0083
7,-0.9827,0.0022,-0.0259
8,-0.9917,0.0400,-0.0066
9,-0.9956,0.0432,-0.0127
10,-0.9946,0.0210,-0.0125
11,-1.0054,-0.0068,-0.0117
12,-0.9878,-0.0112,-0.0251
13,-0.9976,0.0203,-0.0166
14,-1.0054,0.0417,0.0015
15,-0.9888,0.0310,-0.0220
16,-0.9888,0.0144,-0.0276
17,-1.0051,0.0188,-0.0032
18,-1.0022,0.0024,-0.0056
19,-0.9946,-0.0027,-0.0234
20,-0.9976,0.0129,-0.0090
21,-0.9966,0.0347,-0.0083
22,-0.9937,0.0359,-0.0198
23,-0.9993,0.0154,-0.0166
24,-0.9944,-0.0068,-0.0032
25,-0.9937,0.0027,-0.0195
26,-0.9963,0.0164,-0.0134
27,-0.9954,0.0337,-0.0078
28,-0.9937,0.0464,-0.0137
29,-0.9985,0.0330,-0.0164
30,-1.0032,-0.0063,-0.0095
31,-0.9946,-0.0220,-0.0186
32,-0.9883,0.0044,-0.0090
33,-0.9937,0.0500,-0.0078
34,-0.9954,0.0552,-0.0151
35,-1.0012,0.0110,-0.0161
36,-1.0054,-0.0232,-0.0125
37,-0.9985,-0.0010,-0.0144
38,-0.9915,0.0337,-0.0142
39,-0.9976,0.0452,-0.0044
40,-0.9907,0.0264,-0.0181
41,-0.9954,-0.0032,-0.0276
42,-0.9995,-0.0137,-0.0034
43,-0.9934,0.0049,-0.0063
44,-0.9895,0.0300,-0.0234
45,-1.0015,0.0361,-0.0110
46,-1.0034,0.0349,-0.0027
47,-0.9944,0.0217,-0.0288
48,-0.9963,-0.0015,-0.0164
49,-0.9985,-0.0208,-0.0027
50,-0.9868,-0.0015,-0.0293
51,-0.9897,0.0430,-0.0181
52,-1.0034,0.0566,-0.0068
53,-0.9985,0.0188,-0.0242
54,-0.9951,-0.0078,-0.0151
55,-0.9993,0.0103,-0.0098
56,-0.9976,0.0317,-0.0120
57,-1.0002,0.0244,-0.0078
58,-0.9963,0.0059,-0.0178
59,-0.9924,0.0027,-0.0295
60,-0.9917,0.0193,-0.0137
61,-0.9976,0.0276,-0.0134
62,-0.9937,0.0063,-0.0193
63,-1.0005,0.0005,-0.0059
64,-1.0034,0.0166,-0.0210
65,-0.9897,0.0251,-0.0322
66,-1.0034,0.0256,0.0027
67,-1.0015,0.0227,-0.0085
68,-0.9839,0.0132,-0.0312
69,-0.9973,0.0051,-0.0073
70,-1.0032,0.0037,-0.0125
71,-0.9917,0.0164,-0.0225
72,-0.9993,0.0398,0.0056
73,-0.9937,0.0288,-0.0227
